Unique_Key,Agency_Name,Complaint_Type,Descriptor
26593698,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26591037,New York City Police Department,Illegal Parking,Blocked Hydrant
26592954,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26592551,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26591575,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26594762,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26592844,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26592833,New York City Police Department,Illegal Parking,Blocked Sidewalk
26594635,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26592819,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26590132,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26591934,New York City Police Department,Illegal Parking,Blocked Hydrant
26590692,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26592794,New York City Police Department,Illegal Parking,Blocked Sidewalk
26590037,New York City Police Department,Illegal Parking,Detached Trailer
26590987,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26592560,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26591368,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26590407,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26589571,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26594340,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26595306,New York City Police Department,Illegal Parking,Blocked Hydrant
26591924,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26590950,New York City Police Department,Illegal Parking,Blocked Hydrant
26589281,New York City Police Department,Illegal Parking,Blocked Sidewalk
26595149,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26595602,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26593325,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26589120,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26592007,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26591546,New York City Police Department,Illegal Parking,Blocked Sidewalk
26588943,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26593397,New York City Police Department,Illegal Parking,Blocked Sidewalk
26590247,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26595802,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26590076,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26591542,New York City Police Department,Illegal Parking,Blocked Sidewalk
26594798,New York City Police Department,Illegal Parking,Blocked Sidewalk
26594155,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26582996,New York City Police Department,Illegal Parking,Blocked Sidewalk
26580749,New York City Police Department,Illegal Parking,Blocked Sidewalk
26586899,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26580977,New York City Police Department,Illegal Parking,Blocked Sidewalk
26583579,New York City Police Department,Illegal Parking,Blocked Hydrant
26584948,New York City Police Department,Illegal Parking,Blocked Hydrant
26586974,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26581314,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26584007,New York City Police Department,Illegal Parking,Blocked Hydrant
26583420,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26586469,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26587046,New York City Police Department,Illegal Parking,Blocked Hydrant
26581875,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26583364,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26583536,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26588449,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26584616,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26581532,New York City Police Department,Illegal Parking,Blocked Sidewalk
26585933,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26587013,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26581530,New York City Police Department,Illegal Parking,Blocked Sidewalk
